Gene	Description
Glyma.01G171000	stress.biotic
Glyma.01G171100	misc.peroxidases
Glyma.01G183300	stress.biotic.PR-proteins
Glyma.01G183400	stress.biotic.PR-proteins
Glyma.01G184200	misc.peroxidases
Glyma.01G185300	protein.degradation.metalloprotease
Glyma.01G187700	secondary metabolism.phenylpropanoids.lignin biosynthesis
Glyma.01G191100	stress.biotic.signalling
Glyma.01G192500	misc.peroxidases
Glyma.01G196000	stress.biotic
Glyma.01G197600	signalling.receptor kinases.leucine rich repeat
Glyma.01G197800	signalling.receptor kinases.leucine rich repeat
Glyma.01G200400	misc.peroxidases
Glyma.01G203100	protein.degradation.serine protease
Glyma.01G205200	stress.biotic
Glyma.01G206600	hormone metabolism.ethylene.signal transduction
Glyma.01G206700	hormone metabolism.ethylene.signal transduction
Glyma.01G208800	protein.degradation.metalloprotease
Glyma.01G213600	signalling.receptor kinases.leucine rich repeat
Glyma.01G218800	signalling.receptor kinases.leucine rich repeat
Glyma.01G222700	stress.biotic.respiratory burst
Glyma.01G223400	stress.biotic
Glyma.01G224000	signalling.receptor kinases.leucine rich repeat
Glyma.01G232400	secondary metabolism.phenylpropanoids.lignin biosynthesis
Glyma.01G234900	misc.protease inhibitor/seed storage/lipid transfer protein (LTP) family protein
Glyma.01G235000	misc.protease inhibitor/seed storage/lipid transfer protein (LTP) family protein
Glyma.01G241500	protein.degradation.metalloprotease
Glyma.01G243200	signalling.receptor kinases.leucine rich repeat
Glyma.01G244100	stress.biotic
Glyma.01G244600	signalling.receptor kinases.leucine rich repeat
Glyma.U008300	stress.biotic.PR-proteins
Glyma.02G006200	hormone metabolism.ethylene.signal transduction
Glyma.02G006300	hormone metabolism.ethylene.signal transduction
Glyma.02G007400	stress.biotic
Glyma.02G008900	misc.peroxidases
Glyma.02G011800	protein.degradation.serine protease
Glyma.02G013100	hormone metabolism.ethylene.induced-regulated-responsive-activated
Glyma.02G023700	stress.biotic.PR-proteins
Glyma.02G023800	stress.biotic.PR-proteins
Glyma.02G023900	stress.biotic.PR-proteins
Glyma.02G024000	stress.biotic.PR-proteins
Glyma.02G026200	stress.biotic
Glyma.02G027700	protein.degradation.metalloprotease
Glyma.02G027800	protein.degradation.metalloprotease
Glyma.02G027900	protein.degradation.metalloprotease
Glyma.02G028000	protein.degradation.metalloprotease
Glyma.02G028100	protein.degradation.metalloprotease
Glyma.02G028200	protein.degradation.metalloprotease
Glyma.02G028300	protein.degradation.metalloprotease
Glyma.02G028800	protein.degradation.metalloprotease
Glyma.02G028900	protein.degradation.metalloprotease
Glyma.02G030500	stress.biotic
Glyma.02G030700	stress.biotic
Glyma.02G033000	stress.biotic.PR-proteins
Glyma.02G034100	stress.biotic
Glyma.02G036600	signalling.receptor kinases.leucine rich repeat
Glyma.02G037800	misc.peroxidases
Glyma.02G039300	hormone metabolism.ethylene.signal transduction
Glyma.02G041800	stress.biotic.PR-proteins
Glyma.02G042500	stress.biotic
Glyma.02G045000	protein.degradation.aspartate protease
Glyma.02G045100	protein.degradation.aspartate protease
Glyma.02G047400	stress.biotic
Glyma.02G050300	signalling.receptor kinases.leucine rich repeat
Glyma.02G050500	protein.degradation.serine protease
Glyma.02G051200	signalling.receptor kinases.leucine rich repeat
Glyma.02G051300	signalling.receptor kinases.leucine rich repeat
Glyma.02G052700	misc.peroxidases
Glyma.02G052800	misc.peroxidases
Glyma.02G053100	hormone metabolism.ethylene.induced-regulated-responsive-activated
Glyma.02G060800	stress.biotic
Glyma.02G063900	stress.biotic.signalling.MLO-like
Glyma.02G064500	protein.degradation.serine protease
Glyma.02G067600	hormone metabolism.ethylene.signal transduction
Glyma.02G069000	protein.degradation.cysteine protease
Glyma.02G083300	stress.biotic.PR-proteins
Glyma.02G088900	misc.protease inhibitor/seed storage/lipid transfer protein (LTP) family protein
Glyma.02G091200	protein.degradation.serine protease
Glyma.02G097400	signalling.receptor kinases.leucine rich repeat
Glyma.02G099300	protein.degradation.metalloprotease
Glyma.02G101900	signalling.receptor kinases.leucine rich repeat
Glyma.02G103500	secondary metabolism.phenylpropanoids.lignin biosynthesis
Glyma.02G110500	stress.biotic
Glyma.02G112300	stress.biotic
Glyma.02G113600	stress.biotic
Glyma.02G114800	signalling.receptor kinases.leucine rich repeat
Glyma.02G120800	signalling.receptor kinases.leucine rich repeat
Glyma.02G127300	misc.peroxidases
Glyma.02G135100	misc.peroxidases
Glyma.02G135200	misc.peroxidases
Glyma.02G137400	hormone metabolism.ethylene.induced-regulated-responsive-activated
Glyma.02G140000	protein.degradation.cysteine protease
Glyma.02G148200	protein.degradation.aspartate protease
Glyma.02G150900	signalling.receptor kinases.leucine rich repeat
Glyma.02G151700	misc.peroxidases
Glyma.02G152400	protein.degradation.serine protease
Glyma.08G312600	stress.biotic
Glyma.13G030500	protein.degradation.aspartate protease
Glyma.02G169800	stress.biotic.PR-proteins
Glyma.02G167700	hormone metabolism.ethylene.induced-regulated-responsive-activated
Glyma.02G171600	misc.peroxidases
Glyma.02G172000	protein.degradation.cysteine protease
Glyma.02G183600	signalling.receptor kinases.leucine rich repeat
Glyma.02G184300	stress.biotic
Glyma.02G188400	stress.biotic.PR-proteins
Glyma.02G189400	stress.biotic.signalling.MLO-like
Glyma.02G193400	stress.biotic.PR-proteins
Glyma.02G197800	stress.biotic
Glyma.02G203600	signalling.receptor kinases.leucine rich repeat
Glyma.02G204700	protein.degradation.serine protease
Glyma.02G206300	signalling.receptor kinases.leucine rich repeat
Glyma.02G213100	hormone metabolism.ethylene.induced-regulated-responsive-activated
Glyma.02G214100	protein.degradation.cysteine protease
Glyma.02G215700	protein.degradation.metalloprotease
Glyma.02G219800	signalling.receptor kinases.leucine rich repeat
Glyma.02G220900	stress.biotic
Glyma.02G225300	protein.degradation.metalloprotease
Glyma.02G226900	protein.degradation.serine protease
Glyma.02G233800	misc.peroxidases
Glyma.02G233900	misc.peroxidases
Glyma.02G234000	misc.peroxidases
Glyma.02G234200	misc.peroxidases
Glyma.02G237000	signalling.receptor kinases.leucine rich repeat
Glyma.02G244400	signalling.receptor kinases.leucine rich repeat
Glyma.02G249500	stress.biotic
Glyma.02G256100	signalling.receptor kinases.leucine rich repeat
Glyma.02G259300	misc.peroxidases
Glyma.02G259500	misc.peroxidases
Glyma.02G261400	signalling.receptor kinases.leucine rich repeat
Glyma.02G267400	hormone metabolism.ethylene.signal transduction
Glyma.02G268900	stress.biotic.PR-proteins
Glyma.02G269200	signalling.receptor kinases.leucine rich repeat
Glyma.02G271200	signalling.receptor kinases.leucine rich repeat
Glyma.02G274500	signalling.receptor kinases.leucine rich repeat
Glyma.02G274500	signalling.receptor kinases.leucine rich repeat
Glyma.02G274800	signalling.receptor kinases.leucine rich repeat
Glyma.02G281100	signalling.receptor kinases.leucine rich repeat
Glyma.02G284000	stress.biotic.PR-proteins
Glyma.02G284100	stress.biotic.PR-proteins
Glyma.02G284200	stress.biotic.PR-proteins
Glyma.02G290300	stress.biotic.PR-proteins
Glyma.02G290400	stress.biotic.PR-proteins
Glyma.02G291000	protein.degradation.cysteine protease
Glyma.02G294100	hormone metabolism.ethylene.signal transduction
Glyma.02G297100	signalling.receptor kinases.leucine rich repeat
Glyma.02G301700	stress.biotic
Glyma.02G302600	signalling.receptor kinases.leucine rich repeat
Glyma.02G309300	secondary metabolism.phenylpropanoids.lignin biosynthesis
Glyma.16G185200	stress.biotic
Glyma.16G175100	signalling.receptor kinases.leucine rich repeat
Glyma.16G185500	signalling.receptor kinases.leucine rich repeat
Glyma.03G007700	misc.peroxidases
Glyma.03G007800	misc.peroxidases
Glyma.03G017300	hormone metabolism.ethylene.signal transduction
Glyma.03G023700	signalling.receptor kinases.leucine rich repeat
Glyma.03G026800	signalling.receptor kinases.leucine rich repeat
Glyma.03G027200	signalling.receptor kinases.leucine rich repeat
Glyma.03G028800	protein.degradation.metalloprotease
Glyma.03G034200	signalling.receptor kinases.leucine rich repeat
Glyma.03G034400	stress.biotic
Glyma.03G039300	stress.biotic
Glyma.03G039200	stress.biotic
Glyma.03G034800	stress.biotic
Glyma.03G034900	stress.biotic
Glyma.03G037000	stress.biotic
Glyma.03G037100	stress.biotic
Glyma.03G037300	stress.biotic
Glyma.03G037400	stress.biotic
Glyma.03G037800	misc.peroxidases
Glyma.03G037900	misc.peroxidases
Glyma.03G038100	misc.peroxidases
Glyma.03G038200	misc.peroxidases
Glyma.03G038300	misc.peroxidases
Glyma.03G038500	misc.peroxidases
Glyma.03G038600	misc.peroxidases
Glyma.03G038700	misc.peroxidases
Glyma.03G038800	stress.biotic
Glyma.03G039500	stress.biotic
Glyma.03G039700	misc.peroxidases
Glyma.03G039800	misc.peroxidases
Glyma.03G043500	stress.biotic
Glyma.03G043600	stress.biotic
Glyma.03G043900	stress.biotic
Glyma.03G044000	stress.biotic
Glyma.03G044300	stress.biotic.PR-proteins
Glyma.03G044400	stress.biotic.PR-proteins
Glyma.03G044500	stress.biotic.PR-proteins
Glyma.03G044900	stress.biotic.PR-proteins
Glyma.03G045700	stress.biotic
Glyma.03G045800	stress.biotic.PR-proteins
Glyma.03G046500	stress.biotic
Glyma.03G047000	stress.biotic
Glyma.03G047100	signalling.receptor kinases.leucine rich repeat
Glyma.03G047900	stress.biotic.PR-proteins
Glyma.03G048100	stress.biotic
Glyma.03G048200	stress.biotic
Glyma.03G047700	stress.biotic.PR-proteins
Glyma.03G048800	stress.biotic.PR-proteins
Glyma.03G048900	stress.biotic.PR-proteins
Glyma.03G049100	stress.biotic.PR-proteins
Glyma.03G047500	stress.biotic.PR-proteins
Glyma.U005000	stress.biotic.PR-proteins
Glyma.U004900	stress.biotic.PR-proteins
Glyma.03G049300	signalling.receptor kinases.leucine rich repeat
Glyma.03G050600	stress.biotic.PR-proteins
Glyma.03G052400	signalling.receptor kinases.leucine rich repeat
Glyma.03G052800	stress.biotic.PR-proteins
Glyma.03G053000	signalling.receptor kinases.leucine rich repeat
Glyma.03G053300	stress.biotic.PR-proteins
Glyma.03G053500	stress.biotic.PR-proteins
Glyma.03G053600	stress.biotic.PR-proteins
Glyma.03G053800	signalling.receptor kinases.leucine rich repeat
Glyma.03G053900	stress.biotic.PR-proteins
Glyma.03G054100	stress.biotic.PR-proteins
Glyma.03G054400	signalling.receptor kinases.leucine rich repeat
Glyma.03G054800	signalling.receptor kinases.leucine rich repeat
Glyma.03G055300	signalling.receptor kinases.leucine rich repeat
Glyma.03G055500	protein.degradation.metalloprotease
Glyma.03G060400	protein.degradation.aspartate protease
Glyma.03G079800	protein.degradation.serine protease
Glyma.03G077700	stress.biotic.PR-proteins
Glyma.03G077400	stress.biotic.PR-proteins
Glyma.03G075300	stress.biotic.PR-proteins
Glyma.03G075200	stress.biotic
Glyma.03G075100	stress.biotic.PR-proteins
Glyma.03G073500	misc.protease inhibitor/seed storage/lipid transfer protein (LTP) family protein
Glyma.03G070300	protein.degradation.serine protease
Glyma.03G066500	signalling.receptor kinases.leucine rich repeat
Glyma.03G087400	signalling.receptor kinases.leucine rich repeat
Glyma.03G087500	stress.biotic.PR-proteins
Glyma.03G087600	stress.biotic.PR-proteins
Glyma.03G087700	stress.biotic.PR-proteins
Glyma.03G088000	stress.biotic.PR-proteins
Glyma.03G088100	stress.biotic.PR-proteins
Glyma.03G089200	protein.degradation.metalloprotease
Glyma.03G090900	protein.degradation.serine protease
Glyma.03G093600	stress.biotic.signalling.MLO-like
Glyma.03G093800	stress.biotic
Glyma.03G095700	signalling.receptor kinases.leucine rich repeat
Glyma.03G096200	signalling.receptor kinases.leucine rich repeat
Glyma.03G096600	signalling.receptor kinases.leucine rich repeat
Glyma.03G111700	hormone metabolism.ethylene.signal transduction
Glyma.03G112000	hormone metabolism.ethylene.signal transduction
Glyma.03G112800	hormone metabolism.ethylene.signal transduction
Glyma.03G117700	protein.degradation.metalloprotease
Glyma.03G125200	protein.degradation.serine protease
Glyma.03G125400	protein.degradation.serine protease
Glyma.03G125500	protein.degradation.serine protease
Glyma.03G125600	protein.degradation.serine protease
Glyma.03G135900	stress.biotic
Glyma.03G136400	stress.biotic
Glyma.03G137100	protein.degradation.metalloprotease
Glyma.03G137200	stress.biotic
Glyma.03G137300	signalling.receptor kinases.leucine rich repeat
Glyma.03G140700	signalling.receptor kinases.leucine rich repeat
Glyma.03G140800	hormone metabolism.ethylene.signal transduction
Glyma.03G141600	signalling.receptor kinases.leucine rich repeat
Glyma.03G145600	misc.peroxidases
Glyma.03G147600	stress.biotic.PR-proteins
Glyma.03G147700	stress.biotic.PR-proteins
Glyma.03G147800	stress.biotic.PR-proteins
Glyma.03G147900	stress.biotic.PR-proteins
Glyma.03G148500	signalling.receptor kinases.leucine rich repeat
Glyma.03G151900	protein.degradation.aspartate protease
Glyma.03G156100	misc.protease inhibitor/seed storage/lipid transfer protein (LTP) family protein
Glyma.03G159800	hormone metabolism.ethylene.signal transduction
Glyma.03G162400	hormone metabolism.ethylene.signal transduction
Glyma.03G162500	hormone metabolism.ethylene.signal transduction
Glyma.03G162600	hormone metabolism.ethylene.signal transduction
Glyma.03G162700	hormone metabolism.ethylene.signal transduction
Glyma.03G165800	signalling.receptor kinases.leucine rich repeat
Glyma.03G166200	signalling.receptor kinases.leucine rich repeat
Glyma.03G166300	signalling.receptor kinases.leucine rich repeat
Glyma.03G167500	signalling.receptor kinases.leucine rich repeat
Glyma.03G175900	stress.biotic.PR-proteins
Glyma.03G179200	stress.biotic.signalling.MLO-like
Glyma.03G181600	secondary metabolism.phenylpropanoids.lignin biosynthesis
Glyma.03G181700	secondary metabolism.phenylpropanoids.lignin biosynthesis
Glyma.03G182500	protein.degradation.cysteine protease
Glyma.03G188400	protein.degradation.aspartate protease
Glyma.03G189800	signalling.receptor kinases.leucine rich repeat
Glyma.03G201100	stress.biotic
Glyma.03G201200	stress.biotic
Glyma.03G201400	stress.biotic
Glyma.03G201500	stress.biotic
Glyma.03G201300	stress.biotic
Glyma.03G208100	misc.peroxidases
Glyma.03G208200	misc.peroxidases
Glyma.03G210300	protein.degradation.cysteine protease
Glyma.03G216700	hormone metabolism.ethylene.signal transduction
Glyma.03G220200	protein.degradation.serine protease
Glyma.03G226300	protein.degradation.cysteine protease
Glyma.03G228200	protein.degradation.aspartate protease
Glyma.03G231700	hormone metabolism.ethylene.induced-regulated-responsive-activated
Glyma.03G235800	protein.degradation.serine protease
Glyma.03G236300	stress.biotic.respiratory burst
Glyma.03G239700	protein.degradation.aspartate protease
Glyma.03G247500	stress.biotic
Glyma.03G251700	hormone metabolism.ethylene.signal transduction
Glyma.03G254300	stress.biotic
Glyma.03G262500	signalling.receptor kinases.leucine rich repeat
Glyma.04G002400	stress.biotic.signalling.MLO-like
Glyma.04G014700	protein.degradation.cysteine protease
Glyma.04G014800	protein.degradation.cysteine protease
Glyma.04G015500	stress.biotic.signalling.MLO-like
Glyma.04G015700	stress.biotic.signalling.MLO-like
Glyma.04G017900	protein.degradation.metalloprotease
Glyma.04G019100	protein.degradation.metalloprotease
Glyma.04G023700	stress.biotic
Glyma.04G026700	signalling.receptor kinases.leucine rich repeat
Glyma.04G027600	protein.degradation.cysteine protease
Glyma.04G028300	protein.degradation.cysteine protease
Glyma.04G031500	secondary metabolism.phenylpropanoids.lignin biosynthesis
Glyma.04G034300	stress.biotic
Glyma.04G036200	protein.degradation.serine protease
Glyma.04G041400	signalling.receptor kinases.leucine rich repeat
Glyma.04G041500	protein.degradation.cysteine protease
Glyma.04G056200	signalling.receptor kinases.leucine rich repeat
Glyma.04G059600	misc.peroxidases
Glyma.04G062900	hormone metabolism.ethylene.signal transduction
Glyma.04G065600	misc.protease inhibitor/seed storage/lipid transfer protein (LTP) family protein
Glyma.04G077100	signalling.receptor kinases.leucine rich repeat
Glyma.04G077500	stress.biotic
Glyma.04G082200	stress.biotic.PR-proteins
Glyma.04G085200	signalling.receptor kinases.leucine rich repeat
Glyma.04G086700	signalling.receptor kinases.leucine rich repeat
Glyma.04G088700	signalling.receptor kinases.leucine rich repeat
Glyma.04G088800	signalling.receptor kinases.leucine rich repeat
Glyma.04G093800	protein.degradation.cysteine protease
Glyma.04G096400	protein.degradation.cysteine protease
Glyma.04G099500	misc.peroxidases
Glyma.04G115700	signalling.receptor kinases.leucine rich repeat
Glyma.04G123200	signalling.receptor kinases.leucine rich repeat
Glyma.04G124100	stress.biotic.PR-proteins
Glyma.04G125300	stress.biotic
Glyma.04G134000	stress.biotic.PR-proteins
Glyma.04G151200	signalling.receptor kinases.leucine rich repeat
Glyma.04G155900	protein.degradation.serine protease
Glyma.04G156600	secondary metabolism.phenylpropanoids.lignin biosynthesis
Glyma.04G139800	stress.biotic.PR-proteins
Glyma.04G137800	stress.biotic
Glyma.20G056200	protein.degradation.serine protease
Glyma.04G163900	protein.degradation.serine protease
Glyma.04G165400	signalling.receptor kinases.leucine rich repeat
Glyma.04G174700	signalling.receptor kinases.leucine rich repeat
Glyma.04G176200	stress.biotic
Glyma.04G177700	stress.biotic
Glyma.04G180300	signalling.receptor kinases.leucine rich repeat
Glyma.04G185400	signalling.receptor kinases.leucine rich repeat
Glyma.04G190400	signalling.receptor kinases.leucine rich repeat
Glyma.04G190700	protein.degradation.cysteine protease
Glyma.04G194100	protein.degradation.aspartate protease
Glyma.04G194200	secondary metabolism.phenylpropanoids.lignin biosynthesis
Glyma.04G194400	signalling.receptor kinases.leucine rich repeat
Glyma.04G200200	protein.degradation.serine protease
Glyma.04G200400	protein.degradation.serine protease
Glyma.04G203200	stress.biotic.respiratory burst
Glyma.04G203300	protein.degradation.serine protease
Glyma.04G208200	protein.degradation.aspartate protease
Glyma.04G209700	stress.biotic
Glyma.04G211400	signalling.receptor kinases.leucine rich repeat
Glyma.04G213800	protein.degradation.metalloprotease
Glyma.04G214700	stress.biotic.signalling
Glyma.04G218300	signalling.receptor kinases.leucine rich repeat
Glyma.04G219600	stress.biotic.PR-proteins
Glyma.04G220400	signalling.receptor kinases.leucine rich repeat
Glyma.04G220400	signalling.receptor kinases.leucine rich repeat
Glyma.04G220600	misc.peroxidases
Glyma.04G222800	signalling.receptor kinases.leucine rich repeat
Glyma.04G223800	signalling.receptor kinases.leucine rich repeat
Glyma.04G225800	stress.biotic
Glyma.04G226300	protein.degradation.serine protease
Glyma.04G227200	misc.peroxidases
Glyma.04G230300	signalling.receptor kinases.leucine rich repeat
Glyma.04G230500	signalling.receptor kinases.leucine rich repeat
Glyma.04G235600	protein.degradation.serine protease
Glyma.04G239000	signalling.receptor kinases.leucine rich repeat
Glyma.04G239700	signalling.receptor kinases.leucine rich repeat
Glyma.04G240600	protein.degradation.serine protease
Glyma.04G248700	protein.degradation.aspartate protease
Glyma.04G248800	protein.degradation.aspartate protease
Glyma.04G254500	protein.degradation.serine protease
Glyma.05G021100	stress.biotic.respiratory burst
Glyma.05G024000	signalling.receptor kinases.leucine rich repeat
Glyma.05G030100	signalling.receptor kinases.leucine rich repeat
Glyma.05G035300	protein.degradation.serine protease
Glyma.05G039100	signalling.receptor kinases.leucine rich repeat
Glyma.05G039900	signalling.receptor kinases.leucine rich repeat
Glyma.05G053600	protein.degradation.serine protease
Glyma.05G055100	misc.protease inhibitor/seed storage/lipid transfer protein (LTP) family protein
Glyma.05G057000	misc.protease inhibitor/seed storage/lipid transfer protein (LTP) family protein
Glyma.05G057400	misc.protease inhibitor/seed storage/lipid transfer protein (LTP) family protein
Glyma.05G057500	misc.protease inhibitor/seed storage/lipid transfer protein (LTP) family protein
Glyma.05G057600	misc.protease inhibitor/seed storage/lipid transfer protein (LTP) family protein
Glyma.05G057700	misc.protease inhibitor/seed storage/lipid transfer protein (LTP) family protein
Glyma.05G063600	hormone metabolism.ethylene.signal transduction
Glyma.05G064700	stress.biotic
Glyma.05G065900	protein.degradation.serine protease
Glyma.05G068600	protein.degradation.serine protease
Glyma.05G075000	stress.biotic
Glyma.05G015900	hormone metabolism.ethylene.signal transduction
Glyma.05G014600	signalling.receptor kinases.leucine rich repeat
Glyma.05G011600	signalling.receptor kinases.leucine rich repeat
Glyma.05G007200	protein.degradation.serine protease
Glyma.05G002200	misc.protease inhibitor/seed storage/lipid transfer protein (LTP) family protein
Glyma.05G001900	protein.degradation.metalloprotease
Glyma.05G082300	stress.biotic.PR-proteins
Glyma.05G082200	stress.biotic.PR-proteins
Glyma.05G075100	secondary metabolism.phenylpropanoids.lignin biosynthesis
Glyma.05G085800	protein.degradation.serine protease
Glyma.05G085500	signalling.receptor kinases.leucine rich repeat
Glyma.05G082500	stress.biotic.PR-proteins
Glyma.05G082400	stress.biotic.PR-proteins
Glyma.05G096800	protein.degradation.cysteine protease
Glyma.05G097400	signalling.receptor kinases.leucine rich repeat
Glyma.05G102400	stress.biotic.signalling
Glyma.05G103600	misc.peroxidases
Glyma.05G110400	signalling.receptor kinases.leucine rich repeat
Glyma.05G116900	stress.biotic
Glyma.11G160500	stress.biotic.PR-proteins
Glyma.05G119100	misc.protease inhibitor/seed storage/lipid transfer protein (LTP) family protein
Glyma.05G123700	signalling.receptor kinases.leucine rich repeat
Glyma.05G123900	signalling.receptor kinases.leucine rich repeat
Glyma.05G124000	signalling.receptor kinases.leucine rich repeat
Glyma.05G126400	signalling.receptor kinases.leucine rich repeat
Glyma.05G128200	signalling.receptor kinases.leucine rich repeat
Glyma.05G132000	protein.degradation.metalloprotease
Glyma.05G134800	signalling.receptor kinases.leucine rich repeat
Glyma.05G135900	stress.biotic
Glyma.05G136900	signalling.receptor kinases.leucine rich repeat
Glyma.05G141700	signalling.receptor kinases.leucine rich repeat
Glyma.05G147000	secondary metabolism.phenylpropanoids.lignin biosynthesis
Glyma.05G154600	misc.protease inhibitor/seed storage/lipid transfer protein (LTP) family protein
Glyma.05G158600	protein.degradation.cysteine protease
Glyma.05G159900	signalling.receptor kinases.leucine rich repeat
Glyma.05G165600	stress.biotic.PR-proteins
Glyma.05G165800	stress.biotic.PR-proteins
Glyma.05G167200	protein.degradation.cysteine protease
Glyma.05G169700	stress.biotic
Glyma.05G170600	signalling.receptor kinases.leucine rich repeat
Glyma.05G187700	secondary metabolism.phenylpropanoids.lignin biosynthesis
Glyma.05G190000	stress.biotic.signalling
Glyma.05G194100	stress.biotic
Glyma.05G195100	protein.degradation.aspartate protease
Glyma.05G198700	stress.biotic.respiratory burst
Glyma.05G247300	signalling.receptor kinases.leucine rich repeat
Glyma.05G245800	stress.biotic
Glyma.05G229500	hormone metabolism.ethylene.induced-regulated-responsive-activated
Glyma.05G225300	signalling.receptor kinases.leucine rich repeat
Glyma.05G223700	protein.degradation.metalloprotease
Glyma.05G223400	secondary metabolism.phenylpropanoids.lignin biosynthesis
Glyma.05G223300	secondary metabolism.phenylpropanoids.lignin biosynthesis
Glyma.05G222900	protein.degradation.metalloprotease
Glyma.05G220900	signalling.receptor kinases.leucine rich repeat
Glyma.05G214300	signalling.receptor kinases.leucine rich repeat
Glyma.05G213400	stress.biotic.PR-proteins
Glyma.05G213300	stress.biotic
Glyma.05G212500	stress.biotic.respiratory burst
Glyma.05G206300	signalling.receptor kinases.leucine rich repeat
Glyma.05G204800	stress.biotic
Glyma.05G204600	stress.biotic
Glyma.05G201100	protein.degradation.serine protease
