Gene	Predicted function	Role	Species
Glyma.15G272800	Unknown	Unknown	Fvirguliforme
Glyma.09G277000	Serine/threonine protein kinase	Signaling	Fvirguliforme
Glyma.04G083200	Aquaporin	Transport	Fvirguliforme
Glyma.14G062600	Acid phosphatase	Signaling	Fvirguliforme
Glyma.06G306400	Unknown	Unknown	Fvirguliforme
Glyma.03G032700	Anthocyanin biosynthesis	Phytohormone metabolism	Fvirguliforme
Glyma.13G090300	UDP-glucosyl transferase	Physical barrier	Fvirguliforme
Glyma.12G196600	Plastocyanin	Phytohormone metabolism	Fvirguliforme
Glyma.10G066700	Fructose-bisphosphate aldolase	Oxidative stress	Fvirguliforme
Glyma.12G195600	Peroxidase	Oxidative stress	Fvirguliforme
Glyma.18G279800	Cell wall biogenesis-related acetyltransfase	Physical barrier	Fvirguliforme
Glyma.04G092600	G-box regulating factor	Transcriptional regulation	Fvirguliforme
Glyma.03G032800	Anthocyanin biosynthesis	Phytohormone metabolism	Fvirguliforme
Glyma.02G092500	Unknown	Unknown	Fvirguliforme
Glyma.06G063300	CAF1 family ribonuclease	Transcriptional regulation	Fvirguliforme
Glyma.03G045600	Disease resistance-responsive (dirigent-like protein)	SAR	Fvirguliforme
Glyma.18G289000	ACT domain-containing protein	Oxidative stress	Fvirguliforme
Glyma.12G207600	Fasciclin domain arabinogalactan	Physical barrier	Fvirguliforme
Glyma.14G212000	Zinc finger protein	Transcriptional regulation	Fvirguliforme
Glyma.09G273600	Serine/threonine protein kinase	Signaling	Fvirguliforme
Glyma.14G080400	Unknown	Unknown	Fvirguliforme
Glyma.11G090800	Unknown	Unknown	Fvirguliforme
Glyma.14G035500	SNARE complex	Transport	Fvirguliforme
Glyma.17G039800	Leucine-rich repeat receptor kinase (LRR-RK)	Recognition	Fvirguliforme
Glyma.14G065900	Mannose-1-phosphate guanylyltransferase	Oxidative stress	Fvirguliforme
Glyma.17G167800	Leucine-rich repeat protein	Recognition	Fvirguliforme
Glyma.08G233300	Metacaspase	Signaling	Fvirguliforme
Glyma.02G078500	Phosphatidylethanolamine biosynthesis	Signaling	Fvirguliforme
Glyma.06G287000	Thioredoxin	Oxidative stress	Fvirguliforme
Glyma.06G021000	2OG-Fe(II)-dependent oxygenase	Oxidative stress	Fvirguliforme
Glyma.10G053000	Unknown	Unknown	Fvirguliforme
Glyma.09G014100	CCAAT-binding transcription factor	Transcriptional regulation	Fvirguliforme
Glyma.06G270000	Plastocyanin-like domain	Phytohormone metabolism	Fvirguliforme
Glyma.04G092400	Glucose-6-phosphate isomerase	Signaling	Fvirguliforme
Glyma.14G062100	Leucine-rich repeat protein	Recognition	Fvirguliforme
Glyma.01G157500	Seven-transmembrane MLO protein	Oxidative stress	Fvirguliforme
Glyma.14G203000	Serine/threonine protein kinase	Signaling	Fvirguliforme
Glyma.12G177900	Serine protease	Signaling	Fvirguliforme
Glyma.09G254800	WRKY transcription factor	Transcriptional regulation	Fvirguliforme
Glyma.09G030300	UDP-arabinose 4-epimerase	Physical barrier	Fvirguliforme
Glyma.03G019500	Glutaredoxin	Oxidative stress	Fvirguliforme
Glyma.02G228100	Glutamine-dependent asparagine synthase	Oxidative stress	Fvirguliforme
Glyma.19G018800	Core-2/I-Branching enzyme	Physical barrier	Fvirguliforme
Glyma.06G038700	Flavonol reductase/cinnamoyl-CoA reductase	Physical barrier	Fvirguliforme
Glyma.06G144000	Unknown	Unknown	Fvirguliforme
Glyma.01G219000	Cation transport ATPase	Transport	Fvirguliforme
Glyma.01G026200	MatE transporter	Transport	Fvirguliforme
Glyma.13G065000	SPFH domain / Band 7 family	Oxidative stress	Fvirguliforme
Glyma.17G168900	WRKY transcription factor	Transcriptional regulation	Fvirguliforme
Glyma.13G054800	Unknown	Unknown	Fvirguliforme
Glyma.13G231700	Pyruvate decarboxylase	Signaling	Fvirguliforme
Glyma.13G054700	Unknown	Unknown	Fvirguliforme
Glyma.13G225900	Armadillo/beta-catenin-like repeat protein	Signaling	Fvirguliforme
Glyma.05G219700	Unknown	Unknown	Fvirguliforme
Glyma.08G246300	Beta-1,3-glucanase	Direct function	Fvirguliforme
Glyma.09G052700	K+ transporter	Transport	Fvirguliforme
Glyma.01G232400	4-coumarate-CoA ligase	Physical barrier	Fvirguliforme
Glyma.13G049100	Cell wall biogenesis-related acetyltransfase	Physical barrier	Fvirguliforme
Glyma.18G217000	Leucine-rich repeat receptor kinase (LRR-RK)	Recognition	Fvirguliforme
Glyma.04G086900	6-phosphofructokinase	Signaling	Fvirguliforme
Glyma.17G218500	Leucine-rich repeat receptor kinase (LRR-RK)	Recognition	Fvirguliforme
Glyma.17G057100	WRKY transcription factor	Transcriptional regulation	Fvirguliforme
Glyma.02G081100	3-oxo-5-alpha-steroid 4-dehydrogenase	Signaling	Fvirguliforme
Glyma.02G015600	Galacturan 1,4-_-galacturonidase	Physical barrier	Fvirguliforme
Glyma.17G180500	L-ascorbate oxidase	Oxidative stress	Fvirguliforme
Glyma.17G015000	Tobamovirus multiplication 1	Recognition	Fvirguliforme
Glyma.18G238200	WRKY transcription factor	Transcriptional regulation	Fvirguliforme
Glyma.12G181800	Arogenate dehydratase	Phytohormone metabolism	Fvirguliforme
Glyma.12G220600	Phylloquinone biosynthesis-related methyltransferase	Phytohormone metabolism	Fvirguliforme
Glyma.13G204300	Leucine-rich repeat receptor kinase (LRR-RK)	Recognition	Fvirguliforme
Glyma.14G222400	Unknown	Unknown	Fvirguliforme
Glyma.17G062500	Vernalization-insensitive protein 3	Transcriptional regulation	Fvirguliforme
Glyma.04G090900	PPR-containing protein	Transcriptional regulation	Fvirguliforme
Glyma.05G224400	CCCH-type zinc finger family protein	Transcriptional regulation	Fvirguliforme
Glyma.02G014800	Pyridoxal phosphate-dependent transferase	Phytohormone metabolism	Fvirguliforme
Glyma.07G022700	Unknown	Unknown	Fvirguliforme
Glyma.06G187200	R-gene-mediated resistance, lipase	SAR	Mphaseolina
Glyma.08G316500	Calmodulin-dependent protein kinase	Signaling	Mphaseolina
Glyma.08G332800	Calcineurim B-like calcium sensor	Signaling	Mphaseolina
Glyma.09G216800	Pectin acetylesterase	Signaling	Mphaseolina
Glyma.09G218600	Cytochrome P450, family 707, subfamily A	Phytohormone metabolism	Mphaseolina
Glyma.18G301700	Leucine-rich repeat receptor kinase (LRR-RK)	Recognition	Mphaseolina
Glyma.20G203900	Type I serine/threonine protein phosphatase	Signaling	Mphaseolina
Glyma.20G216600	Dof-type transcription factor	Transcriptional regulation	Mphaseolina
Glyma.15G123900	CBF1 interacting co-repressor CIR	Transcriptional regulation	Ppachyrhizi
Glyma.15G125900	Magnesium transporter CorA-like	Transport	Ppachyrhizi
Glyma.18G286900	Unknown	Unknown	Ppachyrhizi
